day,W=14|q=0.2,W=14|q=0.3,W=28|q=0.2,W=28|q=0.3
2024-01-01,0.0,0.0,0.0,0.0
2024-01-02,0.0,0.0,0.0,0.0
2024-01-03,0.0,0.0,0.0,0.0
2024-01-04,0.0,0.0,0.0,0.0
2024-01-05,0.0,0.0,0.0,0.0
2024-01-06,0.0,0.0,0.0,0.0
2024-01-07,0.0,0.0,0.0,0.0
2024-01-08,0.0,0.0,0.0,0.0
2024-01-09,0.0,0.0,0.0,0.0
2024-01-10,0.0,0.0,0.0,0.0
2024-01-11,0.0,0.0,0.0,0.0
2024-01-12,0.0,0.0,0.0,0.0
2024-01-13,0.0,0.0,0.0,0.0
2024-01-14,0.0,0.0,0.0,0.0
2024-01-15,0.0,0.0,0.0,0.0
2024-01-16,0.0,0.0,0.0,0.0
2024-01-17,0.0,0.0,0.0,0.0
2024-01-18,0.0,0.0,0.0,0.0
2024-01-19,0.0,0.0,0.0,0.0
2024-01-20,0.0,0.0,0.0,0.0
2024-01-21,0.0,0.0,0.0,0.0
2024-01-22,0.0,0.0,0.0,0.0
2024-01-23,0.0,0.0,0.0,0.0
2024-01-24,0.0,0.0,0.0,0.0
2024-01-25,0.0,0.0,0.0,0.0
2024-01-26,0.0,0.0,0.0,0.0
2024-01-27,0.0,0.0,0.0,0.0
2024-01-28,0.0,0.0,0.0,0.0
2024-01-29,0.0,0.0,0.0,0.0
2024-01-30,-0.01292099239934299,-0.02108393356229329,0.0,0.0
2024-01-31,-0.024421015179963375,-0.01851646662210389,-0.027554971211443385,-0.023093993127370163
2024-02-01,-0.013318651385361743,-0.006246052682933461,-0.015108720905159254,-0.007787186858860073
2024-02-02,-0.0024659981775045975,0.015481805905373873,-0.0039759556446106155,0.020439990115930354
2024-02-03,0.0226971653388564,0.013257359080337974,0.016244712760247547,0.017454115712037623
2024-02-04,-0.023552846716269567,-0.011649559453833381,-0.009314961308462369,-0.016334788323202964
2024-02-05,0.008701162642923636,-0.002810419673557287,0.0035395946995091803,-0.004085365633829575
2024-02-06,0.009880961704314557,0.004352908870254584,0.01386181973275712,0.006537702597624393
2024-02-07,0.06223486017008723,0.029397021953433307,0.07343109307648876,0.043966466141452464
2024-02-08,-0.00504703604886762,-0.0034058474659421872,-0.018249541368561932,-0.005125537492733829
2024-02-09,-0.013905547894294528,-0.004481603150635527,-0.015419335905271175,-0.006601578737563981
2024-02-10,-0.009632051921931185,-0.007558778193855692,-0.010670597187110957,-0.011000319973283849
2024-02-11,0.0007913381828766055,-0.008508690955182144,0.0012513421005756092,-0.012254399510832849
2024-02-12,-0.003738344504716288,-0.00015963756153412114,-0.00585362486108097,-0.00024541689783624376
2024-02-13,0.0015153095251500834,0.0008739815837881344,0.0005928263682246772,0.0011841526906624753
2024-02-14,-0.014730132181272504,-0.011032517920762212,-0.013750954385627102,-0.01520243076762785
2024-02-15,0.010588425257604936,0.00033655290812746987,-0.0037007805071221185,0.0004644855831147965
2024-02-16,0.016819122374052024,0.007659511023156292,0.008586528298037157,0.009966985757458583
