day,cell=weekdays,cell=weekends
2024-01-01,0.0,0.0
2024-01-02,0.0,0.0
2024-01-03,0.0,0.0
2024-01-04,0.0,0.0
2024-01-05,0.0,0.0
2024-01-06,0.0,0.0
2024-01-07,0.0,0.0
2024-01-08,0.0,0.0
2024-01-09,0.0,0.0
2024-01-10,0.0,0.0
2024-01-11,0.0,0.0
2024-01-12,0.0,0.0
2024-01-13,0.0,0.0
2024-01-14,0.0,0.0
2024-01-15,0.0,0.0
2024-01-16,0.0,0.0
2024-01-17,0.0,0.0
2024-01-18,0.0,0.0
2024-01-19,0.0,0.0
2024-01-20,0.0,0.0
2024-01-21,0.0,0.0
2024-01-22,0.0,0.0
2024-01-23,0.0,0.0
2024-01-24,0.0,0.0
2024-01-25,0.0,0.0
2024-01-26,0.0,0.0
2024-01-27,0.0,0.0
2024-01-28,0.0,0.0
2024-01-29,0.0,0.0
2024-01-30,0.00018127622421373882,0.0
2024-01-31,-0.005510482846571574,0.0
2024-02-01,0.0035511340049909183,0.0
2024-02-02,0.0006971283136864337,0.0
2024-02-03,-0.0001389863273238622,-0.0019300086174446627
2024-02-04,0.0,-0.002306210036230815
2024-02-05,0.001181780920267294,-0.00013915532025566996
2024-02-06,0.007595058520632275,0.0
2024-02-07,0.009672771770274346,0.0
2024-02-08,0.0038836990813476613,0.0
2024-02-09,0.014184396648038616,0.0
2024-02-10,-0.00016742869046995862,0.003954979620732622
2024-02-11,0.0,0.0032365472076184465
2024-02-12,0.022897162055890076,-0.00018272958626909354
2024-02-13,-0.0029343757697332155,0.0
2024-02-14,0.021039344594100076,0.0
2024-02-15,0.0038481669654894125,0.0
2024-02-16,-0.0007192491866760657,0.0
2024-02-17,-0.000178200951013758,-0.0036200429907438975
2024-02-18,0.0,0.00958223622127199
2024-02-19,0.002916020625990619,-0.00017707745824953406
2024-02-20,0.00860997126348972,0.0
2024-02-21,-0.006754792211156758,0.0
2024-02-22,-0.002798046066615622,0.0
2024-02-23,-0.007484557996068304,0.0
2024-02-24,-0.00021472676182104265,0.010614292076758881
2024-02-25,0.0,0.011413720516522534
2024-02-26,0.01902502619563616,-0.00021473039854219794
2024-02-27,0.01713962639426009,0.0
2024-02-28,0.03484200530826474,0.0
2024-02-29,-0.008563544901508693,0.0
2024-03-01,0.009726021688670362,0.0
2024-03-02,-0.00017425452107367178,-0.0029348480066258794
2024-03-03,0.0,0.00774876392561905
2024-03-04,0.025939678837205327,-0.0001744694258915524
2024-03-05,-0.01888420517990153,0.0
2024-03-06,0.020208508417785556,0.0
2024-03-07,0.003797548112946029,0.0
2024-03-08,0.003580219534222074,0.0
2024-03-09,-0.00014047380760846614,0.0010114653561875081
2024-03-10,0.0,-2.3650107200853834e-05
2024-03-11,0.01589804210348109,-0.00014143507641905856
2024-03-12,-0.005846048449512699,0.0
2024-03-13,0.0045190150898279866,0.0
2024-03-14,-0.01006917129650385,0.0
2024-03-15,-0.011085642262889685,0.0
2024-03-16,-0.0001378048509913786,-0.020005491357049064
2024-03-17,0.0,0.01207304253195468
2024-03-18,-0.007027249818747287,-0.00011978705511618445
2024-03-19,-0.027228030473098595,0.0
2024-03-20,0.02563008528427215,0.0
2024-03-21,-0.004647880109187325,0.0
2024-03-22,-0.007902638932596816,0.0
2024-03-23,-8.80031969062188e-05,-9.114398488345374e-05
2024-03-24,0.0,0.009509395665761065
2024-03-25,0.008232622537654062,-8.68267017807277e-05
2024-03-26,-7.018271612372553e-05,0.0
2024-03-27,-0.0035281394396351803,0.0
2024-03-28,0.0037739528627347965,0.0
2024-03-29,-0.0033094969518149085,0.0
2024-03-30,-9.000053817322547e-05,-0.0008363989753466276
2024-03-31,0.0,0.006986580093873236
2024-04-01,-0.007337623052574683,-9.011735864407238e-05
2024-04-02,-0.014391123351105393,0.0
2024-04-03,0.0018431249237911185,0.0
2024-04-04,0.004946072392941314,0.0
2024-04-05,-0.0015423925696817344,0.0
2024-04-06,-9.276541786520332e-05,0.0028444838034358795
2024-04-07,0.0,0.004261297478552058
2024-04-08,0.011702014895873384,-9.273757195470332e-05
2024-04-09,-0.009984593985376475,0.0
2024-04-10,0.0035988023876029436,0.0
2024-04-11,-0.002471618301187536,0.0
2024-04-12,-0.013428740671439739,0.0
2024-04-13,-9.072846466761114e-05,-0.013357925642040027
2024-04-14,0.0,0.008256100772132766
2024-04-15,-0.005733298069173945,-8.834901927375016e-05
2024-04-16,-3.462081658762148e-05,0.0
2024-04-17,-0.008826953258724827,0.0
2024-04-18,0.00888366797851583,0.0
2024-04-19,0.0003545225530415242,0.0
2024-04-20,-0.00011260857292122927,0.007012288507319741
2024-04-21,0.0,-0.0003802670122053968
2024-04-22,0.006577419042297997,-0.00011354750117562902
2024-04-23,8.848655605054143e-06,0.0
2024-04-24,-0.008592710121876429,0.0
2024-04-25,0.0012348359601966753,0.0
2024-04-26,-0.0028948194113477747,0.0
2024-04-27,-0.00012022979945290554,0.005007973224320846
2024-04-28,0.0,-0.0004441075267586186
2024-04-29,-0.0005594427049482116,-0.00011944252382345035
2024-04-30,-0.017669141076145516,0.0
2024-05-01,-0.008370002652846457,0.0
2024-05-02,0.0026564806497091464,0.0
2024-05-03,0.016355483141536637,0.0
2024-05-04,-0.00012654705159433687,0.00291828358514986
2024-05-05,0.0,0.001180899894432223
2024-05-06,-0.005678301175804781,-0.00011907684824505751
2024-05-07,-0.005167296159831581,0.0
2024-05-08,-0.004812178747633012,0.0
2024-05-09,0.008501892381488638,0.0
2024-05-10,-0.012650539595405562,0.0
2024-05-11,-0.00012987214823417673,2.351199433476463e-05
2024-05-12,0.0,0.0029468393029896166
2024-05-13,0.005818278537255655,-0.00014876278289085052
2024-05-14,-0.008946117699121858,0.0
2024-05-15,0.02453778507280799,0.0
2024-05-16,-0.00779471552994366,0.0
2024-05-17,0.0138486571380278,0.0
2024-05-18,-0.0001442323425425998,0.0013140355179615047
2024-05-19,0.0,-0.004668042290203912
2024-05-20,0.047536616691925764,-0.00014078364227750766
2024-05-21,0.0019740619082005886,0.0
2024-05-22,-0.0035122988278885993,0.0
2024-05-23,-0.0008002552729664859,0.0
2024-05-24,-0.0008350683638402492,0.0
2024-05-25,-0.00010135059693469388,0.0019073154057971907
2024-05-26,0.0,0.001063630151247554
2024-05-27,0.003842629957339567,-0.0001017660270459236
2024-05-28,-0.003550583255955225,0.0
2024-05-29,-0.004272473019841439,0.0
2024-05-30,0.0006073168930803869,0.0
2024-05-31,-0.0012232285404882974,0.0
2024-06-01,-0.00010833540143470129,0.0022207367800466966
2024-06-02,0.0,-0.0013066312316278332
2024-06-03,0.0013897275444723744,-0.00011196080739630234
2024-06-04,0.005099451003725367,0.0
2024-06-05,0.0030697423251738122,0.0
2024-06-06,-0.0026927671086388787,0.0
2024-06-07,-0.008161403444754384,0.0
2024-06-08,-0.00011473477511859191,-0.0001773857347992959
2024-06-09,0.0,0.0015975333115039636
2024-06-10,-0.0019243144302898722,-0.00011655812253919872
2024-06-11,-0.011567758556782366,0.0
2024-06-12,0.004449898874921654,0.0
2024-06-13,-0.0072732867704873964,0.0
2024-06-14,-0.0012884468323092826,0.0
2024-06-15,-0.00012092899031607221,0.0040811841435927304
2024-06-16,0.0,0.0033203505025104756
2024-06-17,-0.005497075683225326,-0.00012365088178755397
2024-06-18,-0.009180415928051628,0.0
2024-06-19,0.005848144913370325,0.0
2024-06-20,-0.004800411251954505,0.0
2024-06-21,-0.0031707340548134608,0.0
2024-06-22,-0.0002560331983676136,-0.0018846492056374207
2024-06-23,0.0,-0.012285895859339972
2024-06-24,-0.021341229533173755,-0.000258480879997497
2024-06-25,0.011216040090359288,0.0
2024-06-26,-0.006509726928466682,0.0
2024-06-27,0.010849684656244281,0.0
