date,symbol,selection_bucket,selection_rank,ivp_quartile,regime,ivp,dvol,snapshot_timestamp,quote_timestamp,quote_local_timestamp,expiry,days_to_expiry,leg,instrument,strike,actual_delta,bid,ask,mid,spread,spread_pct_mid,underlying_price,synthetic_bs_on_dvol,real_to_synthetic_ratio
2022-04-01,BTC,bottom_3_ivp,1,Q1,NORMAL,0.0,59.54,2022-04-01T07:59:59.915851Z,2022-04-01T07:59:47.081000Z,2022-04-01T07:59:47.092476Z,2022-04-29T08:00:00Z,28.000000973946758,call_25d,BTC-29APR22-51000-C,51000.0,0.2491,0.0215,0.0225,0.022,0.0010000000000000009,4.545454545454549,45114.2,0.023207371296691048,0.9479746636852749
2022-04-01,BTC,bottom_3_ivp,1,Q1,NORMAL,0.0,59.54,2022-04-01T07:59:59.915851Z,2022-04-01T07:59:54.832000Z,2022-04-01T07:59:54.843097Z,2022-04-29T08:00:00Z,28.000000973946758,put_25d,BTC-29APR22-40000-P,40000.0,-0.21407,0.022,0.023,0.0225,0.0010000000000000009,4.444444444444448,45114.43,0.02105286774736966,1.0687380108969309
2022-04-01,BTC,bottom_3_ivp,1,Q1,NORMAL,0.0,59.54,2022-04-01T07:59:59.915851Z,2022-04-01T07:59:59.893000Z,2022-04-01T07:59:59.899828Z,2022-04-29T08:00:00Z,28.000000973946758,put_10d,BTC-29APR22-36000-P,36000.0,-0.09266,0.008,0.009,0.0085,0.0009999999999999992,11.764705882352931,45113.67,0.00577446699343455,1.4719973306045953
2022-04-01,BTC,bottom_3_ivp,1,Q1,NORMAL,0.0,59.54,2022-04-01T07:59:59.915851Z,2022-04-01T07:59:52.222000Z,2022-04-01T07:59:52.231332Z,2022-04-29T08:00:00Z,28.000000973946758,atm_call,BTC-29APR22-45000-C,45000.0,0.53854,0.065,0.0665,0.06575,0.0015000000000000013,2.2813688212927774,45114.82,0.06691098337323742,0.9826488370861132
2022-04-01,BTC,bottom_3_ivp,1,Q1,NORMAL,0.0,59.54,2022-04-01T07:59:59.915851Z,2022-04-01T07:59:59.905000Z,2022-04-01T07:59:59.915851Z,2022-04-29T08:00:00Z,28.000000973946758,atm_put,BTC-29APR22-45000-P,45000.0,-0.46153,0.0625,0.064,0.06325,0.0015000000000000013,2.371541501976287,45113.69,0.0643790817935148,0.9824619773681125
2022-04-01,ETH,bottom_3_ivp,1,Q1,NORMAL,0.0,70.62,2022-04-01T07:59:59.915851Z,2022-04-01T07:59:57.208000Z,2022-04-01T07:59:57.220511Z,2022-04-29T08:00:00Z,28.000000973946758,call_25d,ETH-29APR22-3800-C,3800.0,0.24496,0.024,0.025,0.0245,0.0010000000000000009,4.081632653061228,3287.31,0.02793974421287893,0.8768870542739842
2022-04-01,ETH,bottom_3_ivp,1,Q1,NORMAL,0.0,70.62,2022-04-01T07:59:59.915851Z,2022-04-01T07:59:57.208000Z,2022-04-01T07:59:57.217146Z,2022-04-29T08:00:00Z,28.000000973946758,put_25d,ETH-29APR22-2900-P,2900.0,-0.2329,0.0295,0.0305,0.03,0.0010000000000000009,3.3333333333333366,3287.31,0.028901030988466202,1.0380252528697806
2022-04-01,ETH,bottom_3_ivp,1,Q1,NORMAL,0.0,70.62,2022-04-01T07:59:59.915851Z,2022-04-01T07:59:54.770000Z,2022-04-01T07:59:54.786103Z,2022-04-29T08:00:00Z,28.000000973946758,put_10d,ETH-29APR22-2500-P,2500.0,-0.08851,0.0095,0.0105,0.01,0.0010000000000000009,10.000000000000009,3287.32,0.006237150688016677,1.60329620049309
2022-04-01,ETH,bottom_3_ivp,1,Q1,NORMAL,0.0,70.62,2022-04-01T07:59:59.915851Z,2022-04-01T07:59:57.703000Z,2022-04-01T07:59:57.712659Z,2022-04-29T08:00:00Z,28.000000973946758,atm_call,ETH-29APR22-3300-C,3300.0,0.52947,0.0725,0.0745,0.0735,0.0020000000000000018,2.7210884353741522,3287.29,0.07613991460268607,0.9653281118522171
2022-04-01,ETH,bottom_3_ivp,1,Q1,NORMAL,0.0,70.62,2022-04-01T07:59:59.915851Z,2022-04-01T07:59:47.316000Z,2022-04-01T07:59:47.323926Z,2022-04-29T08:00:00Z,28.000000973946758,atm_put,ETH-29APR22-3300-P,3300.0,-0.47079,0.0765,0.078,0.07725,0.0015000000000000013,1.9417475728155358,3286.89,0.08007313418223012,0.9647430538212074
2022-07-01,ETH,top_3_ivp,50,Q4,NORMAL,96.44808743169399,119.0,2022-07-01T08:00:00.001039Z,2022-07-01T07:59:57.057000Z,2022-07-01T07:59:57.060294Z,2022-07-29T08:00:00Z,27.999999987974537,call_25d,ETH-29JUL22-1300-C,1300.0,0.27319,0.0395,0.041,0.04025,0.0015000000000000013,3.7267080745341645,1062.99,0.05997614977474961,0.6711000981417706
2022-07-01,ETH,top_3_ivp,50,Q4,NORMAL,96.44808743169399,119.0,2022-07-01T08:00:00.001039Z,2022-07-01T07:59:55.570000Z,2022-07-01T07:59:55.579778Z,2022-07-29T08:00:00Z,27.999999987974537,put_25d,ETH-29JUL22-900-P,900.0,-0.2534,0.06,0.0615,0.06075,0.0015000000000000013,2.469135802469138,1062.92,0.05912875079332829,1.027418965983882
2022-07-01,ETH,top_3_ivp,50,Q4,NORMAL,96.44808743169399,119.0,2022-07-01T08:00:00.001039Z,2022-07-01T07:59:56.020000Z,2022-07-01T07:59:56.031163Z,2022-07-29T08:00:00Z,27.999999987974537,put_10d,ETH-29JUL22-700-P,700.0,-0.10642,0.024,0.0255,0.02475,0.0014999999999999979,6.060606060606053,1062.92,0.012928061399090151,1.9144401651543712
2022-07-01,ETH,top_3_ivp,50,Q4,NORMAL,96.44808743169399,119.0,2022-07-01T08:00:00.001039Z,2022-07-01T07:59:56.021000Z,2022-07-01T07:59:56.037027Z,2022-07-29T08:00:00Z,27.999999987974537,atm_call,ETH-29JUL22-1050-C,1050.0,0.57591,0.124,0.1275,0.12575,0.003500000000000003,2.7833001988071597,1062.92,0.13626711295421368,0.922819873950456
2022-07-01,ETH,top_3_ivp,50,Q4,NORMAL,96.44808743169399,119.0,2022-07-01T08:00:00.001039Z,2022-07-01T07:59:56.027000Z,2022-07-01T07:59:56.041400Z,2022-07-29T08:00:00Z,27.999999987974537,atm_put,ETH-29JUL22-1050-P,1050.0,-0.42399,0.1125,0.114,0.11325,0.0015000000000000013,1.3245033112582794,1063.0,0.1240709722942175,0.9127840131005258
2023-01-01,BTC,bottom_3_ivp,2,Q1,NORMAL,0.0,46.96,2023-01-01T07:59:59.396735Z,2023-01-01T07:59:57.141000Z,2023-01-01T07:59:57.151756Z,2023-01-27T08:00:00Z,26.0000069822338,call_25d,BTC-27JAN23-18000-C,18000.0,0.21873,0.0115,0.013,0.01225,0.0014999999999999996,12.244897959183671,16495.4,0.018798026274139578,0.6516641599151455
2023-01-01,BTC,bottom_3_ivp,2,Q1,NORMAL,0.0,46.96,2023-01-01T07:59:59.396735Z,2023-01-01T07:59:57.141000Z,2023-01-01T07:59:57.152643Z,2023-01-27T08:00:00Z,26.0000069822338,put_25d,BTC-27JAN23-15000-P,15000.0,-0.2088,0.0155,0.0165,0.016,0.0010000000000000009,6.250000000000005,16495.4,0.015437610147748995,1.0364298519569113
2023-01-01,BTC,bottom_3_ivp,2,Q1,NORMAL,0.0,46.96,2023-01-01T07:59:59.396735Z,2023-01-01T07:59:57.141000Z,2023-01-01T07:59:57.167542Z,2023-01-27T08:00:00Z,26.0000069822338,put_10d,BTC-27JAN23-14000-P,14000.0,-0.11169,0.008,0.0085,0.00825,0.0005000000000000004,6.060606060606066,16495.4,0.005153400519892087,1.6008846912160355
2023-01-01,BTC,bottom_3_ivp,2,Q1,NORMAL,0.0,46.96,2023-01-01T07:59:59.396735Z,2023-01-01T07:59:57.141000Z,2023-01-01T07:59:57.151756Z,2023-01-27T08:00:00Z,26.0000069822338,atm_call,BTC-27JAN23-16000-C,16000.0,0.62733,0.0605,0.0625,0.0615,0.0020000000000000018,3.2520325203252063,16495.4,0.06568169410529363,0.9363339487165175
2023-01-01,BTC,bottom_3_ivp,2,Q1,NORMAL,0.0,46.96,2023-01-01T07:59:59.396735Z,2023-01-01T07:59:57.141000Z,2023-01-01T07:59:57.155692Z,2023-01-27T08:00:00Z,26.0000069822338,atm_put,BTC-27JAN23-16000-P,16000.0,-0.37267,0.031,0.032,0.0315,0.0010000000000000009,3.1746031746031775,16495.4,0.035649078951978073,0.883613291732805
2023-01-01,ETH,bottom_3_ivp,2,Q1,NORMAL,0.0,61.64,2023-01-01T07:59:59.396735Z,2023-01-01T07:59:55.333000Z,2023-01-01T07:59:55.347821Z,2023-01-27T08:00:00Z,26.0000069822338,call_25d,ETH-27JAN23-1300-C,1300.0,0.27801,0.0205,0.0215,0.020999999999999998,0.0009999999999999974,4.76190476190475,1193.73,0.03293678605307884,0.6375849776647219
2023-01-01,ETH,bottom_3_ivp,2,Q1,NORMAL,0.0,61.64,2023-01-01T07:59:59.396735Z,2023-01-01T07:59:55.333000Z,2023-01-01T07:59:55.345231Z,2023-01-27T08:00:00Z,26.0000069822338,put_25d,ETH-27JAN23-1100-P,1100.0,-0.27365,0.028,0.029,0.0285,0.0010000000000000009,3.5087719298245643,1193.73,0.03132638591269922,0.9097761892937211
2023-01-01,ETH,bottom_3_ivp,2,Q1,NORMAL,0.0,61.64,2023-01-01T07:59:59.396735Z,2023-01-01T07:59:55.333000Z,2023-01-01T07:59:55.350782Z,2023-01-27T08:00:00Z,26.0000069822338,put_10d,ETH-27JAN23-900-P,900.0,-0.07778,0.008,0.0085,0.00825,0.0005000000000000004,6.060606060606066,1193.73,0.0025006929740940113,3.2990855276781565
2023-01-01,ETH,bottom_3_ivp,2,Q1,NORMAL,0.0,61.64,2023-01-01T07:59:59.396735Z,2023-01-01T07:59:55.333000Z,2023-01-01T07:59:55.347827Z,2023-01-27T08:00:00Z,26.0000069822338,atm_call,ETH-27JAN23-1200-C,1200.0,0.51211,0.052,0.053,0.0525,0.0010000000000000009,1.9047619047619064,1193.73,0.0631368569619148,0.8315269800596642
2023-01-01,ETH,bottom_3_ivp,2,Q1,NORMAL,0.0,61.64,2023-01-01T07:59:59.396735Z,2023-01-01T07:59:59.062000Z,2023-01-01T07:59:59.066247Z,2023-01-27T08:00:00Z,26.0000069822338,atm_put,ETH-27JAN23-1200-P,1200.0,-0.48784,0.0565,0.0585,0.0575,0.0020000000000000018,3.4782608695652204,1193.75,0.06838011538298597,0.8408877299775205
2024-01-01,BTC,top_3_ivp,52,Q4,RICH,98.08743169398907,66.81,2024-01-01T08:00:00.013145Z,2024-01-01T07:59:57.905000Z,2024-01-01T07:59:57.914738Z,2024-01-26T08:00:00Z,24.999999847858795,call_25d,BTC-26JAN24-49000-C,49000.0,0.26178,0.0245,0.0255,0.025,0.0009999999999999974,3.9999999999999893,43263.94,0.02599242839003578,0.9618185582684445
2024-01-01,BTC,top_3_ivp,52,Q4,RICH,98.08743169398907,66.81,2024-01-01T08:00:00.013145Z,2024-01-01T07:59:55.406000Z,2024-01-01T07:59:55.414152Z,2024-01-26T08:00:00Z,24.999999847858795,put_25d,BTC-26JAN24-39000-P,39000.0,-0.24158,0.0255,0.0265,0.026,0.0010000000000000009,3.84615384615385,43262.45,0.0282540741839385,0.9202212690012732
2024-01-01,BTC,top_3_ivp,52,Q4,RICH,98.08743169398907,66.81,2024-01-01T08:00:00.013145Z,2024-01-01T07:59:58.231000Z,2024-01-01T07:59:58.241260Z,2024-01-26T08:00:00Z,24.999999847858795,put_10d,BTC-26JAN24-35000-P,35000.0,-0.10384,0.0095,0.01,0.00975,0.0005000000000000004,5.128205128205133,43263.79,0.008580808220088651,1.1362566030987777
2024-01-01,BTC,top_3_ivp,52,Q4,RICH,98.08743169398907,66.81,2024-01-01T08:00:00.013145Z,2024-01-01T07:59:55.443000Z,2024-01-01T07:59:55.449550Z,2024-01-26T08:00:00Z,24.999999847858795,atm_call,BTC-26JAN24-43000-C,43000.0,0.54736,0.0685,0.07,0.06925,0.0015000000000000013,2.1660649819494604,43258.32,0.07248462570259781,0.955375009924596
2024-01-01,BTC,top_3_ivp,52,Q4,RICH,98.08743169398907,66.81,2024-01-01T08:00:00.013145Z,2024-01-01T07:59:55.315000Z,2024-01-01T07:59:55.323118Z,2024-01-26T08:00:00Z,24.999999847858795,atm_put,BTC-26JAN24-43000-P,43000.0,-0.45241,0.062,0.0635,0.06275,0.0015000000000000013,2.3904382470119545,43262.45,0.06646360920633461,0.9441256764313566
2024-01-01,ETH,top_3_ivp,51,Q4,RICH,96.72131147540983,70.21,2024-01-01T08:00:00.013145Z,2024-01-01T07:59:55.424000Z,2024-01-01T07:59:55.431000Z,2024-01-26T08:00:00Z,24.999999847858795,call_25d,ETH-26JAN24-2700-C,2700.0,0.23217,0.022,0.023,0.0225,0.0010000000000000009,4.444444444444448,2326.6,0.023317725379355635,0.964931168625924
2024-01-01,ETH,top_3_ivp,51,Q4,RICH,96.72131147540983,70.21,2024-01-01T08:00:00.013145Z,2024-01-01T07:59:59.795000Z,2024-01-01T07:59:59.801441Z,2024-01-26T08:00:00Z,24.999999847858795,put_25d,ETH-26JAN24-2100-P,2100.0,-0.25003,0.028,0.029,0.0285,0.0010000000000000009,3.5087719298245643,2326.65,0.031448313518699283,0.9062489148441552
2024-01-01,ETH,top_3_ivp,51,Q4,RICH,96.72131147540983,70.21,2024-01-01T08:00:00.013145Z,2024-01-01T07:59:58.199000Z,2024-01-01T07:59:58.208973Z,2024-01-26T08:00:00Z,24.999999847858795,put_10d,ETH-26JAN24-1900-P,1900.0,-0.11864,0.0115,0.012,0.01175,0.0005000000000000004,4.255319148936174,2326.61,0.01130960846250906,1.0389395918480133
2024-01-01,ETH,top_3_ivp,51,Q4,RICH,96.72131147540983,70.21,2024-01-01T08:00:00.013145Z,2024-01-01T07:59:57.782000Z,2024-01-01T07:59:57.797430Z,2024-01-26T08:00:00Z,24.999999847858795,atm_call,ETH-26JAN24-2350-C,2350.0,0.51116,0.0635,0.0645,0.064,0.0010000000000000009,1.5625000000000013,2326.61,0.0686518511419663,0.9322399751123002
2024-01-01,ETH,top_3_ivp,51,Q4,RICH,96.72131147540983,70.21,2024-01-01T08:00:00.013145Z,2024-01-01T07:59:57.781000Z,2024-01-01T07:59:57.797168Z,2024-01-26T08:00:00Z,24.999999847858795,atm_put,ETH-26JAN24-2350-P,2350.0,-0.48884,0.0735,0.0745,0.074,0.0010000000000000009,1.3513513513513526,2326.61,0.07870510458796717,0.9402185587250141
