date,symbol,selection_bucket,selection_rank,ivp_quartile,regime,ivp,selection_daily_dvol,dvol,dvol_dataset_id,dvol_observed_at,dvol_published_at,snapshot_timestamp,quote_timestamp,quote_local_timestamp,expiry,days_to_expiry,leg,instrument,strike,actual_delta,bid,ask,mid,spread,spread_pct_mid,underlying_price,synthetic_bs_on_dvol,real_to_synthetic_ratio
2022-04-01,BTC,bottom_3_ivp,1,Q1,NORMAL,0.0,59.54,61.78,dvol_deribit_btc_1h,2022-04-01T07:00:00+00:00,2022-04-01T08:00:00+00:00,2022-04-01T07:59:59.915851Z,2022-04-01T07:59:47.081000Z,2022-04-01T07:59:47.092476Z,2022-04-29T08:00:00Z,28.000000973946758,call_25d,BTC-29APR22-51000-C,51000.0,0.2491,0.0215,0.0225,0.022,0.0010000000000000009,4.545454545454549,45114.2,0.025216332026338894,0.8724504411276239
2022-04-01,BTC,bottom_3_ivp,1,Q1,NORMAL,0.0,59.54,61.78,dvol_deribit_btc_1h,2022-04-01T07:00:00+00:00,2022-04-01T08:00:00+00:00,2022-04-01T07:59:59.915851Z,2022-04-01T07:59:54.832000Z,2022-04-01T07:59:54.843097Z,2022-04-29T08:00:00Z,28.000000973946758,put_25d,BTC-29APR22-40000-P,40000.0,-0.21407,0.022,0.023,0.0225,0.0010000000000000009,4.444444444444448,45114.43,0.022849775779212125,0.9846923758643471
2022-04-01,BTC,bottom_3_ivp,1,Q1,NORMAL,0.0,59.54,61.78,dvol_deribit_btc_1h,2022-04-01T07:00:00+00:00,2022-04-01T08:00:00+00:00,2022-04-01T07:59:59.915851Z,2022-04-01T07:59:59.893000Z,2022-04-01T07:59:59.899828Z,2022-04-29T08:00:00Z,28.000000973946758,put_10d,BTC-29APR22-36000-P,36000.0,-0.09266,0.008,0.009,0.0085,0.0009999999999999992,11.764705882352931,45113.67,0.0066682731482988564,1.2746928344062265
2022-04-01,BTC,bottom_3_ivp,1,Q1,NORMAL,0.0,59.54,61.78,dvol_deribit_btc_1h,2022-04-01T07:00:00+00:00,2022-04-01T08:00:00+00:00,2022-04-01T07:59:59.915851Z,2022-04-01T07:59:52.222000Z,2022-04-01T07:59:52.231332Z,2022-04-29T08:00:00Z,28.000000973946758,atm_call,BTC-29APR22-45000-C,45000.0,0.53854,0.065,0.0665,0.06575,0.0015000000000000013,2.2813688212927774,45114.82,0.06937392885790594,0.9477623810909053
2022-04-01,BTC,bottom_3_ivp,1,Q1,NORMAL,0.0,59.54,61.78,dvol_deribit_btc_1h,2022-04-01T07:00:00+00:00,2022-04-01T08:00:00+00:00,2022-04-01T07:59:59.915851Z,2022-04-01T07:59:59.905000Z,2022-04-01T07:59:59.915851Z,2022-04-29T08:00:00Z,28.000000973946758,atm_put,BTC-29APR22-45000-P,45000.0,-0.46153,0.0625,0.064,0.06325,0.0015000000000000013,2.371541501976287,45113.69,0.06684206366761779,0.9462604313732762
2022-04-01,ETH,bottom_3_ivp,1,Q1,NORMAL,0.0,70.62,72.7,dvol_deribit_eth_1h,2022-04-01T07:00:00+00:00,2022-04-01T08:00:00+00:00,2022-04-01T07:59:59.915851Z,2022-04-01T07:59:57.208000Z,2022-04-01T07:59:57.220511Z,2022-04-29T08:00:00Z,28.000000973946758,call_25d,ETH-29APR22-3800-C,3800.0,0.24496,0.024,0.025,0.0245,0.0010000000000000009,4.081632653061228,3287.31,0.029823095290524227,0.8215109719943943
2022-04-01,ETH,bottom_3_ivp,1,Q1,NORMAL,0.0,70.62,72.7,dvol_deribit_eth_1h,2022-04-01T07:00:00+00:00,2022-04-01T08:00:00+00:00,2022-04-01T07:59:59.915851Z,2022-04-01T07:59:57.208000Z,2022-04-01T07:59:57.217146Z,2022-04-29T08:00:00Z,28.000000973946758,put_25d,ETH-29APR22-2900-P,2900.0,-0.2329,0.0295,0.0305,0.03,0.0010000000000000009,3.3333333333333366,3287.31,0.030660593000480123,0.9784546567488183
2022-04-01,ETH,bottom_3_ivp,1,Q1,NORMAL,0.0,70.62,72.7,dvol_deribit_eth_1h,2022-04-01T07:00:00+00:00,2022-04-01T08:00:00+00:00,2022-04-01T07:59:59.915851Z,2022-04-01T07:59:54.770000Z,2022-04-01T07:59:54.786103Z,2022-04-29T08:00:00Z,28.000000973946758,put_10d,ETH-29APR22-2500-P,2500.0,-0.08851,0.0095,0.0105,0.01,0.0010000000000000009,10.000000000000009,3287.32,0.007007341769387198,1.4270746781164227
2022-04-01,ETH,bottom_3_ivp,1,Q1,NORMAL,0.0,70.62,72.7,dvol_deribit_eth_1h,2022-04-01T07:00:00+00:00,2022-04-01T08:00:00+00:00,2022-04-01T07:59:59.915851Z,2022-04-01T07:59:57.703000Z,2022-04-01T07:59:57.712659Z,2022-04-29T08:00:00Z,28.000000973946758,atm_call,ETH-29APR22-3300-C,3300.0,0.52947,0.0725,0.0745,0.0735,0.0020000000000000018,2.7210884353741522,3287.29,0.07843090453336951,0.9371305920452365
2022-04-01,ETH,bottom_3_ivp,1,Q1,NORMAL,0.0,70.62,72.7,dvol_deribit_eth_1h,2022-04-01T07:00:00+00:00,2022-04-01T08:00:00+00:00,2022-04-01T07:59:59.915851Z,2022-04-01T07:59:47.316000Z,2022-04-01T07:59:47.323926Z,2022-04-29T08:00:00Z,28.000000973946758,atm_put,ETH-29APR22-3300-P,3300.0,-0.47079,0.0765,0.078,0.07725,0.0015000000000000013,1.9417475728155358,3286.89,0.08236423576232918,0.9379070816963948
